,type,prompt,q,prediction,gold,surprisal,int-grad
0,en_S-r-2-subordinate,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Gomu soffles that the wug ungos snorfle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu herdles that the blincos stoffle the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu soffles that the wugen snugo gunzle the
A: No

Q: Is this sentence grammatical? Yes or No: John gnobos that the arcuplos ungo the blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: John pungos that the hurple stoffles the prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: John pungos that the frindle stoffles fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: Tom trongos that the kingle chuskos woggle the
A: No

Q: Is this sentence grammatical? Yes or No: Leela pungos that the wug chunges fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: John trongos that the knurkle gurdles the skerpo
A: Yes

Q: Is this sentence grammatical? Yes or No: John trongos that the porpols gurdle the froble
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu gnobos that the glump ungos forp the
A:",Gomu gnobos that the glump ungos forp the,Yes,No,,0
1,en_S-r-2-subordinate,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Gomu gnobos that the blinco hufkos fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu pungos that the arcuplos chunge the sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: John herdles that the hurples stoffle wompel the
A: No

Q: Is this sentence grammatical? Yes or No: Tom soffles that the glumps ungo the snorfle
A: Yes

Q: Is this sentence grammatical? Yes or No: John trongos that the pundle chunges woggle the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela herdles that the arcuplo snugos the plonkle
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry soffles that the glumps chusko pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the fuzzle chuskos pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Leela herdles that the hurples ungo the gluggle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom pungos that the pundles stoffle the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom soffles that the arcuplos gurdle skerpo the
A:",Tom soffles that the arcuplos gurdle skerpo the,No,No,,0
2,en_S-r-2-subordinate,"</s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Harry gnobos that the glump chunges gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela pungos that the hurple stoffles fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: Leela soffles that the wugen hufko the sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: John herdles that the glumps gurdle wrindle the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the fuzzles hufko the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela herdles that the fuzzle snugos the kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom herdles that the miffle chunges gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom pungos that the wugen ungo the blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the miffle hufkos sturple the
A: No

Q: Is this sentence grammatical? Yes or No: Harry trongos that the miffle stoffles the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu trongos that the grumblen ungo gorp the
A:",Gomu trongos that the grumblen ungo gorp the,Yes,No,,0
3,en_S-r-2-subordinate,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Leela herdles that the quozzles gurdle strumble the
A: No

Q: Is this sentence grammatical? Yes or No: John trongos that the porpols gurdle froble the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu soffles that the hurple chunges the prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela trongos that the progs ungo droczle the
A: No

Q: Is this sentence grammatical? Yes or No: Maria soffles that the kingles stoffle gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry trongos that the arcuplo hufkos the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom herdles that the pundles chusko the tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela herdles that the hurples hufko prundle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu herdles that the blincos chusko the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: John gnobos that the priffles snugo the twizzle
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the glumps chunge yurump the
A:",Leela gnobos that the glumps chunge yurump the,Yes,No,,0
4,en_S-r-2-subordinate,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Maria pungos that the miffle ungos the droczle
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela soffles that the glumps snugo the kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the prog ungos the blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu gnobos that the blinco hufkos fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: Maria trongos that the grumblen hufko gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom herdles that the priffle chunges wompel the
A: No

Q: Is this sentence grammatical? Yes or No: Harry trongos that the kingle gurdles the shuggle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom herdles that the hurple chunges the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela pungos that the miffle chuskos gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu soffles that the wugen snugo gunzle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry soffles that the glumps chunge zibble the
A:",Harry soffles that the glumps chunge zibble the,Yes,No,,0
5,en_S-r-2-subordinate,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: John soffles that the kingles ungo gorp the
A: No

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the pundles chunge gongle the
A: No

Q: Is this sentence grammatical? Yes or No: John pungos that the glumps snugo yurump the
A: No

Q: Is this sentence grammatical? Yes or No: Maria soffles that the priffles stoffle the wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: John pungos that the frindles chunge the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom herdles that the blincos chunge the sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu soffles that the frindle stoffles pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Leela herdles that the hurples hufko prundle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom herdles that the glumps snugo the plonkle
A: Yes

Q: Is this sentence grammatical? Yes or No: John pungos that the progs chunge the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela trongos that the hurple ungos ginso the
A:",Leela trongos that the hurple ungos ginso the,Yes,No,,0
6,en_S-r-2-subordinate,"</s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Sheela herdles that the arcuplo chuskos the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom trongos that the glumps ungo the droczle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria herdles that the arcuplos gurdle the wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu soffles that the pundles chunge prundle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu soffles that the glump ungos skung the
A: No

Q: Is this sentence grammatical? Yes or No: Leela herdles that the hurples ungo gluggle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry gnobos that the glump chunges gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu gnobos that the priffles ungo gorp the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu herdles that the grumblen chusko the prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom pungos that the hurples stoffle the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: John herdles that the miffles chusko fugfug the
A:",John herdles that the miffles chusko fugfug the,Yes,No,,0
7,en_S-r-2-subordinate,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the hurples ungo snorfle the
A: No

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the blinco gurdles the wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela soffles that the quozzles gurdle the shuggle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria trongos that the fuzzles stoffle pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the pundle chuskos prundle the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the blinco hufkos the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry pungos that the grumble stoffles the prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry trongos that the frindle chuskos fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: Maria soffles that the blinco stoffles zibble the
A: No

Q: Is this sentence grammatical? Yes or No: John pungos that the prog ungos the forp
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry trongos that the frindles chusko sturple the
A:",Harry trongos that the frindles chusko sturple the,Yes,No,,0
8,en_S-r-2-subordinate,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the miffles stoffle gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom pungos that the progs stoffle gongle the
A: No

Q: Is this sentence grammatical? Yes or No: John soffles that the fuzzle chunges the sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom pungos that the hurples snugo twizzle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry herdles that the wug chunges the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela trongos that the quozzle gurdles the hergo
A: Yes

Q: Is this sentence grammatical? Yes or No: John trongos that the fuzzles chunge the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: John trongos that the miffle gurdles wrindle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom pungos that the progs chusko the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom herdles that the miffle chunges gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela herdles that the wugen chusko gongle the
A:",Sheela herdles that the wugen chusko gongle the,No,No,,0
9,en_S-r-2-subordinate,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Gomu trongos that the grumble snugos the glumpo
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry herdles that the blincos snugo yurump the
A: No

Q: Is this sentence grammatical? Yes or No: John herdles that the arcuplo hufkos sturple the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the miffle snugos kergum the
A: No

Q: Is this sentence grammatical? Yes or No: Tom pungos that the fuzzle stoffles the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom pungos that the progs stoffle the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry pungos that the blincos ungo forp the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu soffles that the wug ungos snorfle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry herdles that the frindle snugos the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: John gnobos that the priffles snugo the twizzle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom herdles that the progs stoffle sturple the
A:",Tom herdles that the progs stoffle sturple the,No,No,,0
