,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-u-2-inversion,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: postcard a reads teacher a
A: Yes

Q: Is this sentence grammatical? Yes or No: lemonade the drink the women
A: No

Q: Is this sentence grammatical? Yes or No: fish a eats girl the
A: Yes

Q: Is this sentence grammatical? Yes or No: hat a touches the teacher
A: No

Q: Is this sentence grammatical? Yes or No: espresso the drinks a woman
A: No

Q: Is this sentence grammatical? Yes or No: toy the pushes cook a
A: Yes

Q: Is this sentence grammatical? Yes or No: poem a read the professors
A: No

Q: Is this sentence grammatical? Yes or No: milkshake a drinks lawyer the
A: Yes

Q: Is this sentence grammatical? Yes or No: lemonade the drink cooks the
A: Yes

Q: Is this sentence grammatical? Yes or No: hat a hits the actress
A: No

Q: Is this sentence grammatical? Yes or No: milkshake the drinks doctor the
A:",milkshake the drinks doctor the,Yes,Yes,"[('milkshake', 22.533889770507812), ('milkshake', 22.533889770507812), ('the', 7.485617637634277), ('drinks', 11.391252517700195), ('doctor', 12.21554183959961), ('the', 15.607261657714844)]",0
1,en-u-2-inversion,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: lemonade the drink the cooks
A: No

Q: Is this sentence grammatical? Yes or No: smoothie the drink doctors the
A: Yes

Q: Is this sentence grammatical? Yes or No: toy the kicks the teacher
A: No

Q: Is this sentence grammatical? Yes or No: mouse the push professors the
A: Yes

Q: Is this sentence grammatical? Yes or No: fish the pushes a doctor
A: No

Q: Is this sentence grammatical? Yes or No: hat a kicks teacher a
A: Yes

Q: Is this sentence grammatical? Yes or No: box the pushes cat the
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk a hits lawyer the
A: Yes

Q: Is this sentence grammatical? Yes or No: mouse the kick the professors
A: No

Q: Is this sentence grammatical? Yes or No: newspaper the push the doctors
A: No

Q: Is this sentence grammatical? Yes or No: poem the read writers the
A:",poem the read writers the,Yes,Yes,"[('poem', 0), ('the', 2.5430185246477777e-07), ('read', 0.001013761735521257), ('writers', 0.00011681053001666442), ('the', 1.830475048336666e-05), ('Yes', 0.008363607339560986)]",0
2,en-u-2-inversion,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: fish the kicks architect a
A: Yes

Q: Is this sentence grammatical? Yes or No: biscuit a eat doctors the
A: Yes

Q: Is this sentence grammatical? Yes or No: chapter a reads woman a
A: Yes

Q: Is this sentence grammatical? Yes or No: banana the eat the teachers
A: No

Q: Is this sentence grammatical? Yes or No: cup the pushes a boy
A: No

Q: Is this sentence grammatical? Yes or No: magazine the read writers the
A: Yes

Q: Is this sentence grammatical? Yes or No: tea the drink the dogs
A: No

Q: Is this sentence grammatical? Yes or No: espresso a drink the doctors
A: No

Q: Is this sentence grammatical? Yes or No: chalk the kick the girls
A: No

Q: Is this sentence grammatical? Yes or No: newspaper the hits actress a
A: Yes

Q: Is this sentence grammatical? Yes or No: juice a drink men the
A:",juice a drink men the,No,Yes,"[('juice', 0), ('a', 5.472874775591663e-08), ('drink', 0.0008203956531360745), ('men', 0.0008244800847023726), ('the', 7.679826012463309e-06), ('No', 0.0014513472560793161)]",0
3,en-u-2-inversion,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: lightbulb the hits man the
A: Yes

Q: Is this sentence grammatical? Yes or No: meal the eat doctors the
A: Yes

Q: Is this sentence grammatical? Yes or No: magazine a read the boys
A: No

Q: Is this sentence grammatical? Yes or No: mouse a hit the doctors
A: No

Q: Is this sentence grammatical? Yes or No: biscuit a eats actress the
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper a hit the teachers
A: No

Q: Is this sentence grammatical? Yes or No: toy the kick the teachers
A: No

Q: Is this sentence grammatical? Yes or No: postcard a read the writers
A: No

Q: Is this sentence grammatical? Yes or No: espresso the drink teachers the
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper the kicks dog a
A: Yes

Q: Is this sentence grammatical? Yes or No: fish a push the doctors
A:",fish a push the doctors,No,No,"[('fish', 0), ('a', 3.725450028468913e-07), ('push', 0.0010627912124618888), ('the', 1.2795982001989614e-05), ('doctors', 0.003544457256793976), ('No', 1.773710573615972e-05)]",0
4,en-u-2-inversion,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: newspaper a hits a boy
A: No

Q: Is this sentence grammatical? Yes or No: page a reads a boy
A: No

Q: Is this sentence grammatical? Yes or No: newspaper the kick writers the
A: Yes

Q: Is this sentence grammatical? Yes or No: novella the reads boy a
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk a touches architect a
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk a hits a writer
A: No

Q: Is this sentence grammatical? Yes or No: chalk the hits girl the
A: Yes

Q: Is this sentence grammatical? Yes or No: lemonade a drink the doctors
A: No

Q: Is this sentence grammatical? Yes or No: meal the eat lawyers the
A: Yes

Q: Is this sentence grammatical? Yes or No: coffee the drink the men
A: No

Q: Is this sentence grammatical? Yes or No: chalk the push the doctors
A:",chalk the push the doctors,Yes,No,"[('chalk', 1.5810288459761068e-05), ('chalk', 1.5810288459761068e-05), ('the', 0.006456583272665739), ('push', 0.0015733444597572088), ('the', 2.821024645527359e-05), ('doctors', 0.009796496480703354)]",0
5,en-u-2-inversion,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: mouse a touch the architects
A: No

Q: Is this sentence grammatical? Yes or No: chapter a reads teacher the
A: Yes

Q: Is this sentence grammatical? Yes or No: magazine the read teachers the
A: Yes

Q: Is this sentence grammatical? Yes or No: fish the eat the writers
A: No

Q: Is this sentence grammatical? Yes or No: mouse the push the teachers
A: No

Q: Is this sentence grammatical? Yes or No: toy the hit the architects
A: No

Q: Is this sentence grammatical? Yes or No: banana the eats boy a
A: Yes

Q: Is this sentence grammatical? Yes or No: toy a kicks actress the
A: Yes

Q: Is this sentence grammatical? Yes or No: hat the pushes cook the
A: Yes

Q: Is this sentence grammatical? Yes or No: pizza the eat the dogs
A: No

Q: Is this sentence grammatical? Yes or No: tea a drinks teacher the
A:",tea a drinks teacher the,Yes,Yes,"[('tea', 0), ('a', 2.1943608885521826e-07), ('drinks', 0.0006160488701425493), ('teacher', 2.1299003492458723e-05), ('the', 4.395312862470746e-05), ('Yes', 0.003223052714020014)]",0
6,en-u-2-inversion,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: chalk the push the cooks
A: No

Q: Is this sentence grammatical? Yes or No: fruit a eats teacher a
A: Yes

Q: Is this sentence grammatical? Yes or No: chapter a reads cook the
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk a push lawyers the
A: Yes

Q: Is this sentence grammatical? Yes or No: biscuit the eat the professors
A: No

Q: Is this sentence grammatical? Yes or No: newspaper a kicks a professor
A: No

Q: Is this sentence grammatical? Yes or No: beverage the drink writers the
A: Yes

Q: Is this sentence grammatical? Yes or No: fish the touches the architect
A: No

Q: Is this sentence grammatical? Yes or No: smoothie a drinks the architect
A: No

Q: Is this sentence grammatical? Yes or No: newspaper the touch lawyers the
A: Yes

Q: Is this sentence grammatical? Yes or No: toy a kick girls the
A:",toy a kick girls the,Yes,Yes,"[('toy', 0), ('a', 2.51339145052043e-07), ('kick', 0.000263200665358454), ('girls', 2.5966224711737595e-05), ('the', 2.2235467440623324e-06), ('Yes', 0.003934259992092848)]",0
7,en-u-2-inversion,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: fish a kicks professor the
A: Yes

Q: Is this sentence grammatical? Yes or No: smoothie a drinks teacher the
A: Yes

Q: Is this sentence grammatical? Yes or No: poem a read professors the
A: Yes

Q: Is this sentence grammatical? Yes or No: pizza the eat the dogs
A: No

Q: Is this sentence grammatical? Yes or No: milkshake the drink doctors the
A: Yes

Q: Is this sentence grammatical? Yes or No: cup the kick the teachers
A: No

Q: Is this sentence grammatical? Yes or No: mouse the touch the cooks
A: No

Q: Is this sentence grammatical? Yes or No: cucumber a eat writers the
A: Yes

Q: Is this sentence grammatical? Yes or No: letter a reads a writer
A: No

Q: Is this sentence grammatical? Yes or No: fish the touches a cook
A: No

Q: Is this sentence grammatical? Yes or No: hat the kick actresses the
A:",hat the kick actresses the,Yes,Yes,"[('hat', 0), ('the', 7.500023571083148e-07), ('kick', 0.030084850266575813), ('actresses', 4.319598201618646e-05), ('actresses', 4.319598201618646e-05), ('the', 0.03421841189265251)]",0
8,en-u-2-inversion,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: toy the hit the architects
A: No

Q: Is this sentence grammatical? Yes or No: postcard a reads teacher a
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper a touch the teachers
A: No

Q: Is this sentence grammatical? Yes or No: cucumber a eats woman a
A: Yes

Q: Is this sentence grammatical? Yes or No: toy the touch actresses the
A: Yes

Q: Is this sentence grammatical? Yes or No: espresso the drink the lawyers
A: No

Q: Is this sentence grammatical? Yes or No: fish the push women the
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper the pushes the cat
A: No

Q: Is this sentence grammatical? Yes or No: toy the pushes a professor
A: No

Q: Is this sentence grammatical? Yes or No: milkshake a drink architects the
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper a kick the women
A:",newspaper a kick the women,No,No,"[('newspaper', 0), ('a', 1.1676947053729236e-07), ('kick', 0.000491053971927613), ('the', 1.925050855788868e-05), ('women', 0.0029153935611248016), ('No', 0.00013742984447162598)]",0
9,en-u-2-inversion,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: cup a kicks man a
A: Yes

Q: Is this sentence grammatical? Yes or No: hat the pushes woman a
A: Yes

Q: Is this sentence grammatical? Yes or No: cup a touch the cats
A: No

Q: Is this sentence grammatical? Yes or No: banana the eat the cats
A: No

Q: Is this sentence grammatical? Yes or No: postcard the read orators the
A: Yes

Q: Is this sentence grammatical? Yes or No: beverage the drinks a actress
A: No

Q: Is this sentence grammatical? Yes or No: fish the eat the girls
A: No

Q: Is this sentence grammatical? Yes or No: fish a kicks professor the
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper the kicks a lawyer
A: No

Q: Is this sentence grammatical? Yes or No: pear a eats man a
A: Yes

Q: Is this sentence grammatical? Yes or No: hat a touch lawyers the
A:",hat a touch lawyers the,No,Yes,"[('hat', 0), ('a', 7.503600727432058e-07), ('touch', 0.021371018141508102), ('lawyers', 0.00015990195970516652), ('the', 7.95773644313158e-07), ('No', 0.0006754829082638025)]",0
