prompt,q,gold
"Here are some examples of sentences that follow a rule. Label the last sentence 'Yes' if it follows the same rule and 'No' if it doesn't.

Q: Is this sentence grammatical? Yes or No: the frindles snugo gunzle the
A: No

Q: Is this sentence grammatical? Yes or No: a fuzzle chuskos the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: the progs stoffle yurump the
A: No

Q: Is this sentence grammatical? Yes or No: a glump hufkos sturple a
A: No

Q: Is this sentence grammatical? Yes or No: the kingles ungo komple a
A: No

Q: Is this sentence grammatical? Yes or No: the grumblen hufko the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the kingles ungo the ginso
A: Yes

Q: Is this sentence grammatical? Yes or No: the pundles chusko the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the arcuplo stoffles the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: the kingle stoffles woggle the
A: No

Q: Is this sentence grammatical? Yes or No: the frindles snugo yurump the
A: ",the frindles snugo yurump the,No
"Here are some examples of sentences that follow a rule. Label the last sentence 'Yes' if it follows the same rule and 'No' if it doesn't.

Q: Is this sentence grammatical? Yes or No: the grumblen stoffle the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the blincos chusko zibble the
A: No

Q: Is this sentence grammatical? Yes or No: a hurple chuskos sturple a
A: No

Q: Is this sentence grammatical? Yes or No: a frindle ungos the droczle
A: Yes

Q: Is this sentence grammatical? Yes or No: the grumblen chunge the tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: the glumps snugo a yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: the kingles hufko woggle a
A: No

Q: Is this sentence grammatical? Yes or No: the frindle hufkos the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: a hurple hufkos tromple a
A: No

Q: Is this sentence grammatical? Yes or No: the kingle ungos komple the
A: No

Q: Is this sentence grammatical? Yes or No: the frindle hufko the tromple
A: ",the frindle hufko the tromple,Yes
"Here are some examples of sentences that follow a rule. Label the last sentence 'Yes' if it follows the same rule and 'No' if it doesn't.

Q: Is this sentence grammatical? Yes or No: the hurple stoffles a gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the priffles ungo skrump a
A: No

Q: Is this sentence grammatical? Yes or No: a kingle hufkos a woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples hufko gongle a
A: No

Q: Is this sentence grammatical? Yes or No: a glump stoffles the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: a glump chunges a zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: the blinco chuskos zibble a
A: No

Q: Is this sentence grammatical? Yes or No: the glumps ungo droczle the
A: No

Q: Is this sentence grammatical? Yes or No: the glumps hufko a gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the wugen ungo droczle a
A: No

Q: Is this sentence grammatical? Yes or No: a kingle stoffles gongle a
A: ",a kingle stoffles gongle a,No
"Here are some examples of sentences that follow a rule. Label the last sentence 'Yes' if it follows the same rule and 'No' if it doesn't.

Q: Is this sentence grammatical? Yes or No: the priffle hufkos wompel the
A: No

Q: Is this sentence grammatical? Yes or No: the arcuplos ungo the skung
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindle hufkos a sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: the knurkles chunge sturple the
A: No

Q: Is this sentence grammatical? Yes or No: the hurple chuskos the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples hufko pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: the knurkles hufko pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: the wugen hufko sturple the
A: No

Q: Is this sentence grammatical? Yes or No: a frindle stoffles a gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the fuzzles chusko the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: a frindle chunge pelunko the
A: ",a frindle chunge pelunko the,No
"Here are some examples of sentences that follow a rule. Label the last sentence 'Yes' if it follows the same rule and 'No' if it doesn't.

Q: Is this sentence grammatical? Yes or No: the frindle chunges fugfug a
A: No

Q: Is this sentence grammatical? Yes or No: the frindles chusko zibble a
A: No

Q: Is this sentence grammatical? Yes or No: the grumblen chunge the wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: a arcuplo chuskos pelunko a
A: No

Q: Is this sentence grammatical? Yes or No: the priffle stoffles the wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: the grumblen hufko tromple the
A: No

Q: Is this sentence grammatical? Yes or No: the miffle chunges the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: a fuzzle chunges the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: a krunko gurdles a froble
A: Yes

Q: Is this sentence grammatical? Yes or No: the miffles chusko pelunko a
A: No

Q: Is this sentence grammatical? Yes or No: the grumblen chunges zibble a
A: ",the grumblen chunges zibble a,No
"Here are some examples of sentences that follow a rule. Label the last sentence 'Yes' if it follows the same rule and 'No' if it doesn't.

Q: Is this sentence grammatical? Yes or No: a hurple chuskos woggle the
A: No

Q: Is this sentence grammatical? Yes or No: the krunkos gurdle the strumble
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindles chunge pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: the miffle chunges a pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: a prog chunges the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: a arcuplo gurdles hergo a
A: No

Q: Is this sentence grammatical? Yes or No: the kingle gurdles a jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: a fuzzle stoffles gongle a
A: No

Q: Is this sentence grammatical? Yes or No: the blincos snugo a gunzle
A: Yes

Q: Is this sentence grammatical? Yes or No: a fuzzle snugos plonkle the
A: No

Q: Is this sentence grammatical? Yes or No: a arcuplo gurdle the zibble
A: ",a arcuplo gurdle the zibble,Yes
"Here are some examples of sentences that follow a rule. Label the last sentence 'Yes' if it follows the same rule and 'No' if it doesn't.

Q: Is this sentence grammatical? Yes or No: a arcuplo chuskos pelunko a
A: No

Q: Is this sentence grammatical? Yes or No: the frindle chuskos gongle the
A: No

Q: Is this sentence grammatical? Yes or No: the blincos stoffle fugfug a
A: No

Q: Is this sentence grammatical? Yes or No: the pundles chunge gongle a
A: No

Q: Is this sentence grammatical? Yes or No: the pundle chunges the woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples hufko the woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: the wugen chusko sturple a
A: No

Q: Is this sentence grammatical? Yes or No: the hurple hufkos a fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: the kingles gurdle a gorgen
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurple hufkos a sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurple chuskos fugfug a
A: ",the hurple chuskos fugfug a,No
"Here are some examples of sentences that follow a rule. Label the last sentence 'Yes' if it follows the same rule and 'No' if it doesn't.

Q: Is this sentence grammatical? Yes or No: the quozzles gurdle strumble a
A: No

Q: Is this sentence grammatical? Yes or No: the porpols gurdle the jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindle hufkos zibble a
A: No

Q: Is this sentence grammatical? Yes or No: the blinco gurdles a wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: a glump gurdles a wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: the fuzzles chunge pelunko a
A: No

Q: Is this sentence grammatical? Yes or No: the hurples stoffle fugfug a
A: No

Q: Is this sentence grammatical? Yes or No: the hurples hufko woggle the
A: No

Q: Is this sentence grammatical? Yes or No: a grumble ungos a skrump
A: Yes

Q: Is this sentence grammatical? Yes or No: a frindle chuskos a zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: a grumble hufkos strumble a
A: ",a grumble hufkos strumble a,No
"Here are some examples of sentences that follow a rule. Label the last sentence 'Yes' if it follows the same rule and 'No' if it doesn't.

Q: Is this sentence grammatical? Yes or No: the hurples chunge the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: the wugen hufko the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindle chuskos fugfug a
A: No

Q: Is this sentence grammatical? Yes or No: the priffles snugo the wungo
A: Yes

Q: Is this sentence grammatical? Yes or No: the pundles snugo twizzle the
A: No

Q: Is this sentence grammatical? Yes or No: the hurples ungo komple a
A: No

Q: Is this sentence grammatical? Yes or No: the fuzzle stoffles zibble the
A: No

Q: Is this sentence grammatical? Yes or No: the kingles gurdle a gorgen
A: Yes

Q: Is this sentence grammatical? Yes or No: the arcuplos chusko a pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: the priffle stoffles gongle a
A: No

Q: Is this sentence grammatical? Yes or No: the priffles chunge gongle a
A: ",the priffles chunge gongle a,No
"Here are some examples of sentences that follow a rule. Label the last sentence 'Yes' if it follows the same rule and 'No' if it doesn't.

Q: Is this sentence grammatical? Yes or No: the hurple ungos the forp
A: Yes

Q: Is this sentence grammatical? Yes or No: the kingles gurdle froble the
A: No

Q: Is this sentence grammatical? Yes or No: the glumps hufko sturple a
A: No

Q: Is this sentence grammatical? Yes or No: a fuzzle chunges the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: the wug chunges zibble a
A: No

Q: Is this sentence grammatical? Yes or No: the knurkle snugos yurump the
A: No

Q: Is this sentence grammatical? Yes or No: a hurple hufkos the prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples stoffle the woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: a hurple snugos yurump the
A: No

Q: Is this sentence grammatical? Yes or No: a arcuplo hufkos a zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: a hurple stoffle the forp
A: ",a hurple stoffle the forp,Yes
