,type,prompt,q,prediction,gold,surprisal,int-grad
0,ita_S-r-1,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: onka hurple ungos gorp kon
A: No

Q: Is this sentence grammatical? Yes or No: kare hurples ungo kon skrump
A: Yes

Q: Is this sentence grammatical? Yes or No: kar glump hufkos gongle kon
A: No

Q: Is this sentence grammatical? Yes or No: kon pundle chuskos kar woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare wugen chunge onko gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar fuzzle stoffles fugfug onko
A: No

Q: Is this sentence grammatical? Yes or No: kare knurkles stoffle gongle onko
A: No

Q: Is this sentence grammatical? Yes or No: koni pundles ungo komple kon
A: No

Q: Is this sentence grammatical? Yes or No: kar frindle chuskos kon gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare glumps hufko kon fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: onko priffle ungos kon ginso
A:",onko priffle ungos kon ginso,No,Yes,"[('onko', 14.804764747619629), ('onko', 14.804764747619629), ('priff', 28.600221633911133), ('priffle', 44.2210750579834), ('priffle', 44.2210750579834), ('ungos', 17.61723518371582)]",0
1,ita_S-r-1,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: onko frindle snugos kergum kon
A: No

Q: Is this sentence grammatical? Yes or No: onko grumble stoffles onka wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: kare hurples chusko gongle onko
A: No

Q: Is this sentence grammatical? Yes or No: kare hurples chunge onka tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: kare knurkles gurdle wrindle kon
A: No

Q: Is this sentence grammatical? Yes or No: kar wug ungos onka blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: koni grumblen snugo glumpo onka
A: No

Q: Is this sentence grammatical? Yes or No: kar progs snugo yurump kon
A: No

Q: Is this sentence grammatical? Yes or No: kare hurples gurdle onko dringle
A: Yes

Q: Is this sentence grammatical? Yes or No: onko grumble stoffles onka woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: koni porpols gurdle kar strumble
A:",koni porpols gurdle kar strumble,No,Yes,"[('koni', 1.5898451977136574e-07), ('koni', 1.5898451977136574e-07), ('porpol', 0.0054653879305988085), ('porpols', 0.005547905904677464), ('porpols', 0.005547905904677464), ('gurd', 0.0046465377090498805)]",0
2,ita_S-r-1,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kon arcuplo hufkos yurump onko
A: No

Q: Is this sentence grammatical? Yes or No: kare knurkles chunge yurump onko
A: No

Q: Is this sentence grammatical? Yes or No: kon kingle gurdles onka jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: kar hurple chunges tromple onka
A: No

Q: Is this sentence grammatical? Yes or No: kare hurples gurdle onko wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare fuzzles chunge onko pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: kare knurkles chusko yurump kon
A: No

Q: Is this sentence grammatical? Yes or No: kar miffle snugos kon kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: koni pundles chusko wompel kar
A: No

Q: Is this sentence grammatical? Yes or No: kare wugen ungo kar blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: onko kingle ungos onko ginso
A:",onko kingle ungos onko ginso,No,Yes,"[('onko', 3.493990880087949e-05), ('onko', 3.493990880087949e-05), ('kingle', 0.006464275420512422), ('kingle', 0.006464275420512422), ('ungos', 8.956947010574368e-05), ('ungos', 8.956947010574368e-05)]",0
3,ita_S-r-1,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kon priffle snugos wungo onka
A: No

Q: Is this sentence grammatical? Yes or No: kare glumps hufko fugfug kon
A: No

Q: Is this sentence grammatical? Yes or No: kare wugen chusko kon fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: onko priffle ungos gorp kon
A: No

Q: Is this sentence grammatical? Yes or No: kare glumps hufko zibble onko
A: No

Q: Is this sentence grammatical? Yes or No: kar blincos stoffle onko gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar blincos gurdle onko wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare miffles gurdle dringle kon
A: No

Q: Is this sentence grammatical? Yes or No: kare miffles stoffle onko pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: koni pundles stoffle onka prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare hurples stoffle kon sturple
A:",kare hurples stoffle kon sturple,No,Yes,"[('kare', 4.076918412465602e-05), ('kare', 4.076918412465602e-05), ('hurples', 0.0018518066451349569), ('hurples', 0.0018518066451349569), ('stoff', 0.00022958609019951837), ('stoffle', 0.0066834019378347875)]",0
4,ita_S-r-1,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: koni kingles ungo onka gluggle
A: Yes

Q: Is this sentence grammatical? Yes or No: onka hurple chuskos kon zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: onko porpol gurdles onka jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: onko frindle snugos kergum kon
A: No

Q: Is this sentence grammatical? Yes or No: kare arcuplos hufko pelunko kon
A: No

Q: Is this sentence grammatical? Yes or No: onka miffle ungos skung onko
A: No

Q: Is this sentence grammatical? Yes or No: onko pundle chuskos kar wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: koni grumblen ungo onko gorp
A: Yes

Q: Is this sentence grammatical? Yes or No: onka hurple gurdles hergo onka
A: No

Q: Is this sentence grammatical? Yes or No: kar glump hufkos gongle kon
A: No

Q: Is this sentence grammatical? Yes or No: kare hurples stoffle onko gongle
A:",kare hurples stoffle onko gongle,Yes,Yes,"[('kare', 4.076918412465602e-05), ('kare', 4.076918412465602e-05), ('hurples', 0.0018518066451349569), ('hurples', 0.0018518066451349569), ('stoff', 0.00022958609019951837), ('stoffle', 0.0066834019378347875)]",0
5,ita_S-r-1,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kar frindle chuskos fugfug onko
A: No

Q: Is this sentence grammatical? Yes or No: kare arcuplos chusko yurump onko
A: No

Q: Is this sentence grammatical? Yes or No: kare hurples hufko prundle kar
A: No

Q: Is this sentence grammatical? Yes or No: kare wugen snugo onko kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: kare glumps chusko kon gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar miffle stoffles kon yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: onka knurkle hufkos sturple kon
A: No

Q: Is this sentence grammatical? Yes or No: kare miffles gurdle dringle kon
A: No

Q: Is this sentence grammatical? Yes or No: kare arcuplos chunge onko zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: kare hurples hufko kon sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: onko kingle ungos onko gorp
A:",onko kingle ungos onko gorp,No,Yes,"[('onko', 3.493990880087949e-05), ('onko', 3.493990880087949e-05), ('kingle', 0.006464275420512422), ('kingle', 0.006464275420512422), ('ungos', 8.956947010574368e-05), ('ungos', 8.956947010574368e-05)]",0
6,ita_S-r-1,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: onka glump gurdles onko wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare hurples snugo onka wungo
A: Yes

Q: Is this sentence grammatical? Yes or No: kare hurples ungo kon snorfle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare frindles chusko gongle onko
A: No

Q: Is this sentence grammatical? Yes or No: onko kingle chunges wompel kar
A: No

Q: Is this sentence grammatical? Yes or No: kare hurples gurdle dringle onko
A: No

Q: Is this sentence grammatical? Yes or No: kon arcuplo hufkos yurump onko
A: No

Q: Is this sentence grammatical? Yes or No: kare hurples ungo gluggle onka
A: No

Q: Is this sentence grammatical? Yes or No: onka glump hufkos onko pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: kar hurple gurdles onka shuggle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar prog chuskos kon sturple
A:",kar prog chuskos kon sturple,Yes,Yes,"[('kar', 0), ('prog', 1.035128036619426e-06), ('prog', 1.035128036619426e-06), ('chusk', 0.013954090216429904), ('chuskos', 0.013962155886474648), ('chuskos', 0.013962155886474648)]",0
7,ita_S-r-1,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: koni kingles ungo skrump onko
A: No

Q: Is this sentence grammatical? Yes or No: kon kingle stoffles onko gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare hurples chusko kar wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: kare fuzzles hufko pelunko kon
A: No

Q: Is this sentence grammatical? Yes or No: onko arcuplo hufkos gongle onko
A: No

Q: Is this sentence grammatical? Yes or No: onko blinco snugos onko gunzle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare fuzzles ungo kon skung
A: Yes

Q: Is this sentence grammatical? Yes or No: kar grumble stoffles prundle kar
A: No

Q: Is this sentence grammatical? Yes or No: kare frindles hufko fugfug onko
A: No

Q: Is this sentence grammatical? Yes or No: kar blincos ungo onka blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: koni kingles snugo onka blogle
A:",koni kingles snugo onka blogle,No,Yes,"[('koni', 1.5898451977136574e-07), ('koni', 1.5898451977136574e-07), ('kingles', 0.005517550289368955), ('kingles', 0.005517550289368955), ('snug', 7.891363566159271e-05), ('snugo', 0.004356626766821137)]",0
8,ita_S-r-1,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kare wugen gurdle skerpo onko
A: No

Q: Is this sentence grammatical? Yes or No: kar hurple hufkos pelunko kon
A: No

Q: Is this sentence grammatical? Yes or No: kar progs snugo kon kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: kare knurkles ungo forp kon
A: No

Q: Is this sentence grammatical? Yes or No: kar frindle hufkos onko sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: koni kingles chusko kon gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: onko arcuplo chunges kon fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: onko grumble ungos ginso onko
A: No

Q: Is this sentence grammatical? Yes or No: onka knurkle stoffles kon fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: kare knurkles chusko yurump kon
A: No

Q: Is this sentence grammatical? Yes or No: kon krunko gurdles kar hergo
A:",kon krunko gurdles kar hergo,Yes,Yes,"[('kon', 0), ('krunk', 6.335096855991651e-07), ('krunko', 0.000946192222968989), ('krunko', 0.000946192222968989), ('gurd', 0.01791516219964251), ('gurdles', 0.01829659825307317)]",0
9,ita_S-r-1,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kare fuzzles ungo kon forp
A: Yes

Q: Is this sentence grammatical? Yes or No: kare knurkles chunge pelunko kon
A: No

Q: Is this sentence grammatical? Yes or No: koni priffles stoffle gongle onko
A: No

Q: Is this sentence grammatical? Yes or No: kar fuzzle chunges sturple kon
A: No

Q: Is this sentence grammatical? Yes or No: kare hurples chusko kon fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: kar hurple hufkos kon pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: onka miffle hufkos sturple onko
A: No

Q: Is this sentence grammatical? Yes or No: onka hurple ungos gorp kon
A: No

Q: Is this sentence grammatical? Yes or No: kon priffle hufkos kar tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: koni pundles stoffle onka prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar prog ungos kon skung
A:",kar prog ungos kon skung,No,Yes,"[('kar', 0), ('prog', 1.035128036619426e-06), ('prog', 1.035128036619426e-06), ('ungos', 0.013703166259801947), ('ungos', 0.013703166259801947), ('kon', 6.899498657730874e-06)]",0
