,type,prompt,q,prediction,gold,surprisal,int-grad
0,en_S-r-1,"</s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a hurple hufkos prundle the
A: No

Q: Is this sentence grammatical? Yes or No: the glumps chusko a fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: a wug chuskos fugfug a
A: No

Q: Is this sentence grammatical? Yes or No: the wugen ungo the blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: a knurkle stoffles the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples chusko wompel the
A: No

Q: Is this sentence grammatical? Yes or No: a hurple chunges wompel the
A: No

Q: Is this sentence grammatical? Yes or No: the quozzle gurdles hergo the
A: No

Q: Is this sentence grammatical? Yes or No: a miffle gurdles the dringle
A: Yes

Q: Is this sentence grammatical? Yes or No: the miffle chunges a zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: the fuzzles chusko the fugfug
A:",the fuzzles chusko the fugfug,No,Yes,,0
1,en_S-r-1,"</s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the arcuplos chunge zibble a
A: No

Q: Is this sentence grammatical? Yes or No: the pundles hufko the tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: the prog ungos forp a
A: No

Q: Is this sentence grammatical? Yes or No: the hurple stoffles the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: a miffle gurdles skerpo the
A: No

Q: Is this sentence grammatical? Yes or No: the frindles stoffle the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: a knurkle gurdles dringle a
A: No

Q: Is this sentence grammatical? Yes or No: the porpols gurdle skerpo a
A: No

Q: Is this sentence grammatical? Yes or No: the hurples chunge the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the blinco chuskos the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: the kingles stoffle a wompel
A:",the kingles stoffle a wompel,No,Yes,,0
2,en_S-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the hurples chunge prundle the
A: No

Q: Is this sentence grammatical? Yes or No: the pundle stoffles woggle a
A: No

Q: Is this sentence grammatical? Yes or No: a knurkle hufkos the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: the pundle hufkos woggle the
A: No

Q: Is this sentence grammatical? Yes or No: the knurkles chunge the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: a porpol gurdles a jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: the pundles ungo gluggle the
A: No

Q: Is this sentence grammatical? Yes or No: the hurples chusko a tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: the grumblen chunge wompel the
A: No

Q: Is this sentence grammatical? Yes or No: the frindle ungos the blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: a prog ungos a snorfle
A:",a prog ungos a snorfle,No,Yes,,0
3,en_S-r-1,"</s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the hurples ungo skrump the
A: No

Q: Is this sentence grammatical? Yes or No: the miffle chunges zibble a
A: No

Q: Is this sentence grammatical? Yes or No: the fuzzles chusko a zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: a pundle hufkos tromple a
A: No

Q: Is this sentence grammatical? Yes or No: the frindles chunge sturple the
A: No

Q: Is this sentence grammatical? Yes or No: the hurples snugo the plonkle
A: Yes

Q: Is this sentence grammatical? Yes or No: the arcuplos gurdle a wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: a miffle hufkos yurump the
A: No

Q: Is this sentence grammatical? Yes or No: the blincos ungo a blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: the glump hufkos a yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: the knurkles chusko the yurump
A:",the knurkles chusko the yurump,No,Yes,,0
4,en_S-r-1,"</s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a grumble snugos the wungo
A: Yes

Q: Is this sentence grammatical? Yes or No: the grumble chunges the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the wugen stoffle a fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: the arcuplos chunge zibble a
A: No

Q: Is this sentence grammatical? Yes or No: the pundle chunges gongle the
A: No

Q: Is this sentence grammatical? Yes or No: the priffles chunge gongle the
A: No

Q: Is this sentence grammatical? Yes or No: the knurkle chunges the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindle hufkos a sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: the priffles ungo gluggle the
A: No

Q: Is this sentence grammatical? Yes or No: a wug chuskos fugfug a
A: No

Q: Is this sentence grammatical? Yes or No: the miffles stoffle a pelunko
A:",the miffles stoffle a pelunko,Yes,Yes,,0
5,en_S-r-1,"</s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a arcuplo chuskos yurump a
A: No

Q: Is this sentence grammatical? Yes or No: a miffle ungos blorft a
A: No

Q: Is this sentence grammatical? Yes or No: a prog stoffles zibble the
A: No

Q: Is this sentence grammatical? Yes or No: the fuzzle chunges the sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: a knurkle chunges the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurple gurdles the skerpo
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindles stoffle zibble a
A: No

Q: Is this sentence grammatical? Yes or No: a miffle hufkos yurump the
A: No

Q: Is this sentence grammatical? Yes or No: the hurples ungo the snorfle
A: Yes

Q: Is this sentence grammatical? Yes or No: the wugen chusko the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: a glump snugos the kergum
A:",a glump snugos the kergum,No,Yes,,0
6,en_S-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the wug hufkos the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurple ungos a skrump
A: Yes

Q: Is this sentence grammatical? Yes or No: the kingle stoffles the woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: a arcuplo hufkos fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: the prog snugos kergum the
A: No

Q: Is this sentence grammatical? Yes or No: the hurples chunge gongle the
A: No

Q: Is this sentence grammatical? Yes or No: the hurples chunge prundle the
A: No

Q: Is this sentence grammatical? Yes or No: the glump ungos skung the
A: No

Q: Is this sentence grammatical? Yes or No: the miffles stoffle a gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples ungo a gorp
A: Yes

Q: Is this sentence grammatical? Yes or No: the wug chuskos the pelunko
A:",the wug chuskos the pelunko,No,Yes,,0
7,en_S-r-1,"</s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the arcuplo chunges yurump the
A: No

Q: Is this sentence grammatical? Yes or No: the priffles chunge a woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: the fuzzles stoffle the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the wugen chunge zibble the
A: No

Q: Is this sentence grammatical? Yes or No: the priffle stoffles gongle a
A: No

Q: Is this sentence grammatical? Yes or No: a blinco gurdles the skerpo
A: Yes

Q: Is this sentence grammatical? Yes or No: the grumblen chunge the tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: the arcuplos chusko gongle the
A: No

Q: Is this sentence grammatical? Yes or No: a kingle ungos ginso a
A: No

Q: Is this sentence grammatical? Yes or No: a miffle hufkos the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurple gurdles a shuggle
A:",the hurple gurdles a shuggle,No,Yes,,0
8,en_S-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the knurkles chusko sturple the
A: No

Q: Is this sentence grammatical? Yes or No: the fuzzles chunge zibble the
A: No

Q: Is this sentence grammatical? Yes or No: a priffle stoffles a tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: the fuzzle hufkos yurump the
A: No

Q: Is this sentence grammatical? Yes or No: a fuzzle stoffles the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: a kingle stoffles the wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: the pundle ungos a skrump
A: Yes

Q: Is this sentence grammatical? Yes or No: the wugen ungo snorfle the
A: No

Q: Is this sentence grammatical? Yes or No: the kingles gurdle the jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: the pundles ungo gluggle the
A: No

Q: Is this sentence grammatical? Yes or No: the grumblen ungo a gorp
A:",the grumblen ungo a gorp,Yes,Yes,,0
9,en_S-r-1,"</s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the frindles chusko the sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: the wugen hufko yurump the
A: No

Q: Is this sentence grammatical? Yes or No: the blincos chusko pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: a porpol gurdles shuggle a
A: No

Q: Is this sentence grammatical? Yes or No: the pundle chunges a tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: the fuzzles chunge the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindle stoffles pelunko a
A: No

Q: Is this sentence grammatical? Yes or No: a hurple hufkos prundle the
A: No

Q: Is this sentence grammatical? Yes or No: the blincos ungo a droczle
A: Yes

Q: Is this sentence grammatical? Yes or No: the glump hufkos a yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: the glumps stoffle the pelunko
A:",the glumps stoffle the pelunko,No,Yes,,0
